group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_1,komiti ya maisosele yalifwaile inshila yakucitilamo ici,Bemba_NNM_Spk2_U_17a5819536_Utterance_1_575_600.wav,6.216
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_2,ashimishe umulilo kabili aponene kabili mu cipuna,Bemba_NNM_Spk2_U_17a5819536_Utterance_2_575_600.wav,4.487
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_3,kuti washa shani imfungulo mu kapunda ka ciibi,Bemba_NNM_Spk2_U_17a5819536_Utterance_3_575_600.wav,4.353
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_4,kwena cicili icansansa kabili kuti nacita ukulanshanya bwino fye,Bemba_NNM_Spk2_U_17a5819536_Utterance_4_575_600.wav,6.264
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_5,icani icanakililila icisuma ica mumutengo insansa isho bucibusa buleta pali ine,Bemba_NNM_Spk2_U_17a5819536_Utterance_5_575_600.wav,9.77
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_6,isenge libe na iwe no mutende ukufuma kuli lesa na kuli shikulu yes kilisitu,Bemba_NNM_Spk2_U_17a5819536_Utterance_6_575_600.wav,8.495
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_7,ukwendauka kwa kwangufyanya ukupita mu mitengo ulya umukalamba wabashilika ailubwile ukufuma fita fyakwatishe amaka ifye calici lya scotland,Bemba_NNM_Spk2_U_17a5819536_Utterance_7_575_600.wav,15.605
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_8,mukupumikisha pa kuti babweshe umutende na umuyano spring ukushindikwa ne cilye conse amonekeele pa muku wakubalilapo,Bemba_NNM_Spk2_U_17a5819536_Utterance_8_575_600.wav,14.345
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_9,icishiba ca mucele cashingilwe ne cibumba cakucilikila ukubunda umulungu wapwile na nomba,Bemba_NNM_Spk2_U_17a5819536_Utterance_9_575_600.wav,9.26
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_10,nshili nangu panoono umukulu,Bemba_NNM_Spk2_U_17a5819536_Utterance_10_575_600.wav,4.25
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_11,fyonse pali ena fyalifye ciunda ca malangi ayabuuta elyo ayasalangana mu kukantaikwa,Bemba_NNM_Spk2_U_17a5819536_Utterance_11_575_600.wav,9.679
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_12,pa nshita ntali hilda nelyo bartley tabalelanda,Bemba_NNM_Spk2_U_17a5819536_Utterance_12_575_600.wav,7.241
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_13,ncili nalikutemwa rachael ninshininkisha ukuti nkakutemwa lyonse,Bemba_NNM_Spk2_U_17a5819536_Utterance_13_575_600.wav,6.315
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_14,mu cungulo lyonse ndeyebelela ndatontonkanya lelo nshishupa umuntu nangu umo na matontonkanyo yandi,Bemba_NNM_Spk2_U_17a5819536_Utterance_14_575_600.wav,10.617
NNM,M,Spk2,U_17a5819536,575_600,Bemba_NNM_Spk2_U_17a5819536_Utterance_15,tacakabe saana lelo ndi nokutasha ukuti ninsanga icibusa,Bemba_NNM_Spk2_U_17a5819536_Utterance_15_575_600.wav,5.544
